,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
436,1986,14,arrows,1.0,0.0,10.0
437,1986,14,zakspeed,0.0,0.0,11.0
438,1986,14,osella,0.0,0.0,12.0
439,1986,14,minardi,0.0,0.0,13.0
440,1986,14,ags,0.0,0.0,14.0
441,1986,15,williams,130.0,9.0,1.0
442,1986,15,mclaren,81.0,3.0,2.0
443,1986,15,team_lotus,53.0,2.0,3.0
444,1986,15,ferrari,33.0,0.0,4.0
445,1986,15,ligier,28.0,0.0,5.0
446,1986,15,benetton,10.0,0.0,6.0
447,1986,15,lola,6.0,0.0,7.0
448,1986,15,tyrrell,6.0,0.0,8.0
449,1986,15,brabham,2.0,0.0,9.0
450,1986,15,arrows,1.0,0.0,10.0
451,1986,15,zakspeed,0.0,0.0,11.0
452,1986,15,minardi,0.0,0.0,13.0
453,1986,15,osella,0.0,0.0,12.0
454,1986,15,ags,0.0,0.0,14.0
455,1986,16,williams,135.0,9.0,1.0
456,1986,16,mclaren,87.0,3.0,2.0
457,1986,16,team_lotus,57.0,2.0,3.0
458,1986,16,ferrari,33.0,0.0,4.0
459,1986,16,ligier,29.0,0.0,5.0
460,1986,16,benetton,19.0,1.0,6.0
461,1986,16,tyrrell,6.0,0.0,8.0
462,1986,16,lola,6.0,0.0,7.0
463,1986,16,brabham,2.0,0.0,9.0
464,1986,16,arrows,1.0,0.0,10.0
465,1986,16,zakspeed,0.0,0.0,11.0
466,1986,16,minardi,0.0,0.0,12.0
467,1986,16,osella,0.0,0.0,13.0
468,1986,16,ags,0.0,0.0,14.0
469,1987,1,mclaren,0.0,0.0,0.0
470,1987,1,williams,0.0,0.0,0.0
471,1987,1,ferrari,0.0,0.0,0.0
472,1987,1,benetton,0.0,0.0,0.0
473,1987,1,team_lotus,0.0,0.0,0.0
474,1987,1,zakspeed,0.0,0.0,0.0
475,1987,1,tyrrell,0.0,0.0,0.0
476,1987,1,ags,0.0,0.0,0.0
477,1987,1,arrows,0.0,0.0,0.0
478,1987,1,brabham,0.0,0.0,0.0
479,1987,1,osella,0.0,0.0,0.0
480,1987,1,minardi,0.0,0.0,0.0
481,1987,1,march,0.0,0.0,0.0
482,1987,2,williams,7.0,0.0,2.0
483,1987,2,mclaren,13.0,1.0,1.0
484,1987,2,team_lotus,0.0,0.0,5.0
485,1987,2,ferrari,3.0,0.0,3.0
486,1987,2,zakspeed,0.0,0.0,6.0
487,1987,2,benetton,2.0,0.0,4.0
488,1987,2,tyrrell,0.0,0.0,7.0
489,1987,2,brabham,0.0,0.0,10.0
490,1987,2,larrousse,0.0,0.0,0.0
491,1987,2,arrows,0.0,0.0,9.0
492,1987,2,ags,0.0,0.0,8.0
493,1987,2,osella,0.0,0.0,11.0
494,1987,2,minardi,0.0,0.0,12.0
495,1987,2,march,0.0,0.0,13.0
496,1987,2,ligier,0.0,0.0,0.0
497,1987,3,mclaren,16.0,1.0,2.0
498,1987,3,williams,16.0,1.0,1.0
499,1987,3,team_lotus,7.0,0.0,3.0
500,1987,3,ferrari,7.0,0.0,4.0
501,1987,3,brabham,0.0,0.0,8.0
502,1987,3,arrows,0.0,0.0,10.0
503,1987,3,zakspeed,2.0,0.0,5.0
504,1987,3,benetton,2.0,0.0,6.0
505,1987,3,ligier,0.0,0.0,15.0
506,1987,3,tyrrell,0.0,0.0,7.0
507,1987,3,larrousse,0.0,0.0,9.0
508,1987,3,ags,0.0,0.0,11.0
509,1987,3,osella,0.0,0.0,12.0
510,1987,3,march,0.0,0.0,14.0
